Id,Run1 (ms),Run2 (ms),Run3 (ms),Run4 (ms)
Id_1,130.9829184615,131.0435538654,130.9533261173,130.8300843954
Id_2,145.8608973945,145.8259836366,145.6955194103,145.5845596007
Id_3,143.9040617615,143.8755723797,143.7086609496,143.6334695269
Id_4,125.5078086191,125.2715782442,125.1229848709,125.0634207042
Id_5,144.7548280752,144.706320974,144.5716531052,144.471254285
Id_6,151.6922431776,151.5948498133,151.4817832116,151.3529344067
Id_7,173.659864347,173.5818379943,173.4464445647,173.3224488461
Id_8,126.8671973703,126.6289644708,126.4445779275,126.4112619604
Id_9,121.7743124764,121.5662756908,121.3946695175,121.3608700412
Id_10,154.2391224219,154.119623075,153.9984567867,153.8737921245
Id_11,138.617952163,138.4270206818,138.1952371231,138.1991784343
Id_12,145.2632736436,145.0186842865,144.8026856077,144.7841510044
Id_13,176.5731595746,176.4703991553,176.3256393646,176.2068179084
Id_14,108.9560220152,108.8457488915,108.7399296724,108.6919825362
Id_15,143.6611856771,143.404884387,143.2195609399,143.213293361
Id_16,137.8994048418,137.6767411634,137.5049547517,137.4968940395
Id_17,144.5105260073,144.2329339521,144.0796362731,144.048644262
Id_18,147.1377340927,147.0547503846,146.9013010429,146.8488684235
Id_19,146.074108322,145.7941497613,145.5998686094,145.5994711855
Id_20,146.9376154967,146.6358999029,146.4741392702,146.4486439454
Id_21,113.8341664474,113.6863334157,113.579669612,113.5384212282
Id_22,132.0819418545,132.0968202253,132.0369954768,131.937549105
Id_23,125.123388449,125.0063982327,124.8904733506,124.8602025859
Id_24,131.126416351,130.9635777316,130.866358981,130.8141600087
Id_25,151.2282561815,151.27438891,151.2006784528,151.1073367823
Id_26,116.8029867376,116.6090850151,116.4860639819,116.461182125
Id_27,169.3829420046,169.2926122564,169.2140419525,169.1109374681
Id_28,126.5612407049,126.2788035247,126.158772435,126.1224414143
Id_29,137.470883069,137.2517247762,137.0597394618,137.0837906525
Id_30,144.0616081113,143.7878241495,143.6132870913,143.6159985581
Id_31,144.9132994172,144.618069576,144.4757104704,144.4536821161
Id_32,122.0740585365,121.8395558389,121.668287189,121.6781773136
Id_33,127.931949103,127.6470171579,127.4912191013,127.4816054777
Id_34,122.7966556936,122.5439450376,122.3998382164,122.3887867419
Id_35,148.4199390699,148.2985991027,148.189518457,148.1205270173
Id_36,169.9167783876,169.81063924,169.6799364028,169.623923616
Id_37,122.5806744168,122.3324713441,122.2308707035,122.1894539444
Id_38,148.1592542474,148.0430404335,147.9852379471,147.8796249661
Id_39,139.5349404202,139.2986175104,139.1462198973,139.1417853196
Id_40,133.9375058174,133.7333585611,133.5930171955,133.5867744891
Id_41,177.2528848912,177.1017771516,176.9644866074,176.9142394613
Id_42,108.5807738763,108.5157011103,108.3439215442,108.338987719
Id_43,131.2616710773,131.3459498606,131.1960161146,131.1407552722
Id_44,150.2899741856,150.4153276211,150.238557886,150.1956441215
Id_45,158.4213802419,158.4830570692,158.3624379181,158.2653493466
Id_46,116.7642764735,116.6161811399,116.4396051853,116.4334617614
Id_47,145.9202362178,145.8774321046,145.7091255093,145.658695313
Id_48,144.8653520559,144.626855666,144.4181834223,144.4193556358
Id_49,175.0563877472,174.9850354144,174.8095397308,174.7453940794
Id_50,122.033616189,121.8469675522,121.6197791293,121.6492257603
Id_51,127.8895818426,127.6547792734,127.4404084161,127.4512843388
Id_52,147.4989665634,147.456325836,147.2464326211,147.2267365339
Id_53,139.7342918442,139.5476620839,139.2828852856,139.3354222672
Id_54,146.4327471514,146.1923060299,145.9419632608,145.9741461205
Id_55,131.9948855533,132.0488031657,131.9188040145,131.8797726741
Id_56,158.3694629286,158.4159020991,158.2838460064,158.2337090137
Id_57,152.0218589536,152.0923132315,151.9723273322,151.9219228741
Id_58,117.4171222417,117.2408086539,117.0817117184,117.090226373
Id_59,141.9269562336,141.8899415786,141.7599417024,141.7169944476
Id_60,169.2714850442,169.2311761492,169.0628220122,169.0370049872
Id_61,140.9007437368,140.673316317,140.5037497891,140.5109641236
Id_62,162.4896591195,162.4785752089,162.3241934329,162.2969923483
Id_63,170.2711895514,170.2073193869,170.0770175718,170.0219389139
Id_64,127.2262483505,126.9624669414,126.8034602594,126.8032249644
Id_65,153.7663635043,153.6382305202,153.5134658913,153.4555608694
Id_66,145.6739807902,145.4002402457,145.2132641404,145.232635643
Id_67,176.0323854874,175.919644021,175.7707866106,175.7282770988
Id_68,128.6041025835,128.3380297765,128.1426623553,128.1696678098
Id_69,156.3478387039,156.1968127405,156.0636718793,156.0112090043
Id_70,177.9346857173,177.8214836222,177.6230980226,177.6178154096
